Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
солома6601.24.15.04.1.24.15.07|81,500|0,613|0,500|1,36|2,00
суданка6601.30.06.01.2.24.15.0|26,000|3,077|0,800|6,85|3,20
люцерна6601.29.08.01.1.24.15.|40,100|8,304|3,330|18,47|13,32
кукуруза6601.40.05.02.1.24.15.0|32,300|13,932|4,500|31,00|18,00
плющенное6601.48.05.06.1.24.|66,400|2,410|1,600|5,36|6,40
карнаж6601.49.05.07.1.24.15.07|63,700|2,119|1,350|4,71|5,40
Кукуруза. 70% сухая среди.|87,540|3,199|2,800|7,12|11,20
Шрот соевый. 51%, ЭНАПКХ|89,750|3,231|2,900|7,19|11,60
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,307|1,200|2,91|4,80
Пшеница. 55%, сухая.среди.|87,490|0,800|0,700|1,78|2,80
Жом световничный сухой. гр.|91,450|1,203|1,100|2,68|4,40
Патока световничная, сахар|79,500|1,258|1,000|2,80|4,00
Ячмень.61%, сухой, средний|89,000|2,360|2,100|5,25|8,40
Жир защищений. 99%,|99,500|0,352|0,350|0,78|1,40
Сода. ЭНАПКХ|95,600|0,209|0,200|0,47|0,80
Мел. ЭНАПКХ|99,200|0,202|0,200|0,45|0,80
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,34|0,60
Соль. ЭНАПКХ|99,850|0,120|0,120|0,27|0,48
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,23|0,40
